epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,191.846,0.88013,0.37334,0.00335,1,0.99583,0.995,0.79608,0.86232,0.2646,0.00493,0.0011486,0.0011486,0.0011486
45,196.107,0.85923,0.27674,0.00393,1,0.99705,0.995,0.81409,0.79772,0.25354,0.00459,0.0011288,0.0011288,0.0011288
46,200.483,0.8148,0.30609,0.00355,0.99783,1,0.995,0.85445,0.73121,0.19015,0.00408,0.001109,0.001109,0.001109
47,205.289,0.90114,0.37032,0.00371,0.99782,1,0.995,0.85632,0.72793,0.20976,0.00395,0.0010892,0.0010892,0.0010892
48,210.067,0.87838,0.34003,0.00383,0.9964,1,0.995,0.81768,0.80272,0.21743,0.00435,0.0010694,0.0010694,0.0010694
49,214.278,0.84441,0.31232,0.00381,0.99655,1,0.995,0.82295,0.80433,0.22239,0.00436,0.0010496,0.0010496,0.0010496
50,218.59,0.81546,0.27988,0.00338,1,0.98689,0.995,0.83223,0.74246,0.23927,0.00411,0.0010298,0.0010298,0.0010298
51,222.889,0.82901,0.27707,0.00365,1,0.99824,0.995,0.8295,0.74674,0.22008,0.00412,0.00101,0.00101,0.00101
52,227.214,0.81895,0.26647,0.00349,0.99685,1,0.995,0.85596,0.68826,0.18702,0.00378,0.0009902,0.0009902,0.0009902
53,231.431,0.93968,0.31186,0.00371,0.99796,1,0.995,0.85291,0.76162,0.20102,0.00418,0.0009704,0.0009704,0.0009704
54,235.606,0.79399,0.27447,0.00365,1,0.99498,0.995,0.77154,0.96303,0.28672,0.00522,0.0009506,0.0009506,0.0009506
55,239.823,0.78818,0.26696,0.0033,0.99727,1,0.995,0.82062,0.83796,0.20575,0.00461,0.0009308,0.0009308,0.0009308
56,244.089,0.82238,0.34959,0.0036,0.9972,1,0.995,0.81643,0.77283,0.19918,0.00429,0.000911,0.000911,0.000911
57,248.318,0.85493,0.27404,0.00358,1,0.99691,0.995,0.82275,0.74359,0.22715,0.00407,0.0008912,0.0008912,0.0008912
58,252.555,0.84297,0.31538,0.0037,0.99726,1,0.995,0.86657,0.66922,0.17041,0.00367,0.0008714,0.0008714,0.0008714
59,257.261,0.77547,0.37366,0.00333,0.99696,1,0.995,0.81419,0.83492,0.22048,0.00484,0.0008516,0.0008516,0.0008516
60,261.471,0.7753,0.23395,0.0034,0.99864,1,0.995,0.827,0.74863,0.20554,0.00407,0.0008318,0.0008318,0.0008318
61,265.723,0.85167,0.28703,0.00322,0.99707,1,0.995,0.82347,0.78102,0.1955,0.00418,0.000812,0.000812,0.000812
